Symbol,Latency(ns)
AAPL,17111
MSFT,4749
GOOG,5239
TSLA,4679
AAPL,11943
MSFT,5866
GOOG,5308
TSLA,5168
AAPL,9358
MSFT,7542
GOOG,5867
TSLA,3842
AAPL,8520
MSFT,4260
GOOG,4749
TSLA,4261
AAPL,35689
MSFT,12013
GOOG,11384
TSLA,11105
AAPL,17111
MSFT,12502
GOOG,10616
TSLA,10337
AAPL,10476
MSFT,4191
GOOG,5238
TSLA,5238
AAPL,11454
MSFT,6006
GOOG,6146
TSLA,4330
AAPL,19905
MSFT,12850
GOOG,45955
TSLA,10058
AAPL,19625
MSFT,10965
GOOG,10965
TSLA,11524
AAPL,18717
MSFT,12432
GOOG,16343
TSLA,13619
AAPL,13898
MSFT,9498
GOOG,8660
TSLA,15155
AAPL,18578
MSFT,9498
GOOG,8940
TSLA,6984
AAPL,15225
MSFT,9568
GOOG,8241
TSLA,9149
AAPL,10546
MSFT,6146
GOOG,4820
TSLA,5308
AAPL,10057
MSFT,5727
GOOG,5308
TSLA,5797
AAPL,7683
MSFT,6216
GOOG,5308
TSLA,4749
AAPL,10616
MSFT,6565
GOOG,5168
TSLA,5727
AAPL,9987
MSFT,6146
GOOG,4749
TSLA,5657
AAPL,16064
MSFT,9568
GOOG,10127
TSLA,10476
AAPL,15784
MSFT,9150
GOOG,9009
TSLA,9918
AAPL,9848
MSFT,5658
GOOG,6146
TSLA,4749
AAPL,9638
MSFT,5308
GOOG,4749
TSLA,4749
AAPL,17809
MSFT,9848
GOOG,11943
TSLA,11105
AAPL,16204
MSFT,10057
GOOG,8241
TSLA,8172
AAPL,7752
MSFT,6286
GOOG,13549
TSLA,5168
AAPL,8451
MSFT,5727
GOOG,5168
TSLA,5168
AAPL,10057
MSFT,5797
GOOG,5308
TSLA,5238
AAPL,11035
MSFT,4330
GOOG,4400
TSLA,4819
AAPL,15644
MSFT,9638
GOOG,8172
TSLA,10616
AAPL,15365
MSFT,8102
GOOG,9428
TSLA,10825
AAPL,15994
MSFT,9009
GOOG,9568
TSLA,8102
AAPL,15714
MSFT,10895
GOOG,10825
TSLA,11314
AAPL,13340
MSFT,10057
GOOG,7542
TSLA,11664
AAPL,13898
MSFT,9499
GOOG,9498
TSLA,8032
AAPL,10337
MSFT,5797
GOOG,5797
TSLA,6774
AAPL,10895
MSFT,5238
GOOG,4749
TSLA,5727
AAPL,10057
MSFT,5796
GOOG,5866
TSLA,5797
AAPL,9079
MSFT,5658
GOOG,5308
TSLA,5308
AAPL,16203
MSFT,9428
GOOG,9568
TSLA,8870
AAPL,15155
MSFT,9568
GOOG,9638
TSLA,8031
AAPL,15784
MSFT,9428
GOOG,8730
TSLA,8731
AAPL,15715
MSFT,10476
GOOG,9568
TSLA,10546
AAPL,9987
MSFT,6146
GOOG,5727
TSLA,19556
AAPL,9499
MSFT,4679
GOOG,5168
TSLA,4330
AAPL,17461
MSFT,12292
GOOG,12012
TSLA,10895
AAPL,9848
MSFT,6286
GOOG,5797
TSLA,5308
AAPL,9358
MSFT,5657
GOOG,5168
TSLA,4749
AAPL,9149
MSFT,8591
GOOG,8102
TSLA,9079
AAPL,23536
MSFT,9498
GOOG,8102
TSLA,9708
AAPL,15295
MSFT,9080
GOOG,9498
TSLA,8870
AAPL,15645
MSFT,10057
GOOG,9499
TSLA,8660
AAPL,16971
MSFT,10965
GOOG,11174
TSLA,10686
AAPL,15714
MSFT,8172
GOOG,9149
TSLA,8241
AAPL,15854
MSFT,8102
GOOG,8451
TSLA,7613
AAPL,12921
MSFT,9638
GOOG,4190
TSLA,4680
AAPL,15365
MSFT,9499
GOOG,9079
TSLA,8591
AAPL,10546
MSFT,9009
GOOG,8870
TSLA,7962
AAPL,16343
MSFT,9010
GOOG,9987
TSLA,7752
AAPL,16273
MSFT,10476
GOOG,9149
TSLA,47631
AAPL,14597
MSFT,8520
GOOG,8520
TSLA,8450
AAPL,15644
MSFT,9638
GOOG,7962
TSLA,7124
AAPL,28216
MSFT,9429
GOOG,9149
TSLA,8171
AAPL,14248
MSFT,9918
GOOG,9079
TSLA,5238
AAPL,10406
MSFT,4749
GOOG,5238
TSLA,6216
AAPL,9429
MSFT,5168
GOOG,5657
TSLA,5308
AAPL,9429
MSFT,4330
GOOG,5308
TSLA,5797
AAPL,15645
MSFT,9569
GOOG,9150
TSLA,9150
AAPL,14387
MSFT,13340
GOOG,7124
TSLA,8870
AAPL,16203
MSFT,9010
GOOG,9219
TSLA,9010
AAPL,10826
MSFT,7124
GOOG,4819
TSLA,4330
AAPL,20184
MSFT,9639
GOOG,9009
TSLA,9428
AAPL,16273
MSFT,10058
GOOG,4679
TSLA,4750
AAPL,15155
MSFT,5238
GOOG,4261
TSLA,4819
AAPL,9010
MSFT,6286
GOOG,5797
TSLA,4819
AAPL,9568
MSFT,4819
GOOG,3911
TSLA,4819
AAPL,9638
MSFT,5797
GOOG,4888
TSLA,4819
AAPL,9848
MSFT,4749
GOOG,5726
TSLA,5378
AAPL,17181
MSFT,9988
GOOG,9079
TSLA,9149
AAPL,16133
MSFT,10057
GOOG,8591
TSLA,7542
AAPL,16273
MSFT,10476
GOOG,17041
TSLA,8450
AAPL,17111
MSFT,11105
GOOG,12013
TSLA,11105
AAPL,9918
MSFT,5168
GOOG,5378
TSLA,4330
AAPL,11314
MSFT,6076
