Symbol,Latency(ns)
AAPL,3911
MSFT,1816
GOOG,2445
TSLA,2304
AAPL,4679
MSFT,2863
GOOG,2793
TSLA,2374
AAPL,5308
MSFT,2863
GOOG,2863
TSLA,2794
AAPL,3911
MSFT,2864
GOOG,2374
TSLA,2375
AAPL,7612
MSFT,5658
GOOG,3841
TSLA,5168
AAPL,7753
MSFT,5657
GOOG,4191
TSLA,4330
AAPL,4679
MSFT,3352
GOOG,1955
TSLA,2864
AAPL,5239
MSFT,2375
GOOG,2374
TSLA,2444
AAPL,8031
MSFT,6635
GOOG,5238
TSLA,4749
AAPL,8241
MSFT,5658
GOOG,5657
TSLA,4819
AAPL,7543
MSFT,6216
GOOG,5238
TSLA,8171
AAPL,6705
MSFT,4819
GOOG,4261
TSLA,5727
AAPL,7962
MSFT,4819
GOOG,3352
TSLA,3772
AAPL,6146
MSFT,4679
GOOG,4260
TSLA,3352
AAPL,3841
MSFT,1886
GOOG,2375
TSLA,2375
AAPL,3422
MSFT,1396
GOOG,2375
TSLA,2444
AAPL,3841
MSFT,978
GOOG,2445
TSLA,1885
AAPL,3282
MSFT,2864
GOOG,1396
TSLA,1397
AAPL,4260
MSFT,1886
GOOG,977
TSLA,1955
AAPL,6775
MSFT,4330
GOOG,3282
TSLA,3771
AAPL,6565
MSFT,3702
GOOG,4260
TSLA,2864
AAPL,3352
MSFT,1886
GOOG,2374
TSLA,1397
AAPL,2304
MSFT,1467
GOOG,1467
TSLA,1467
AAPL,8451
MSFT,4749
GOOG,4330
TSLA,5308
AAPL,6775
MSFT,4679
GOOG,4261
TSLA,3771
AAPL,3352
MSFT,1886
GOOG,3772
TSLA,1886
AAPL,3353
MSFT,1397
GOOG,1467
TSLA,2793
AAPL,3282
MSFT,2375
GOOG,1467
TSLA,1956
AAPL,4190
MSFT,1885
GOOG,1467
TSLA,1886
AAPL,6566
MSFT,4679
GOOG,3213
TSLA,4190
AAPL,7124
MSFT,4819
GOOG,3841
TSLA,6146
AAPL,7543
MSFT,4400
